8, 133, 105
8, 124, 130
9, 128, 121
8, 141, 132
6, 123, 101
7, 124, 101
8, 103, 128
6, 76, 122
7, 104, 121
7, 122, 103
8, 104, 124
8, 104, 140
9, 140, 123
9, 129, 112
9, 120, 121
10, 139, 124
8, 114, 126
7, 107, 132
6, 125, 85
9, 127, 114
8, 123, 110
10, 124, 99
8, 132, 126
8, 91, 124
9, 126, 131
9, 137, 97
9, 131, 102
9, 111, 124
7, 121, 99
7, 107, 134
8, 132, 79
8, 124, 120
7, 121, 103
9, 137, 127
6, 134, 78
8, 118, 122
9, 116, 123
8, 128, 125
7, 104, 121
7, 131, 119
8, 113, 122
8, 133, 122
8, 122, 124
8, 120, 123
8, 122, 109
8, 105, 132
9, 130, 132
9, 107, 130
9, 128, 114
8, 121, 125
8, 134, 128
7, 123, 90
7, 123, 102
10, 131, 110
10, 135, 114
7, 134, 96
8, 128, 114
7, 126, 106
9, 122, 138
8, 117, 132
7, 119, 122
8, 125, 126
8, 125, 107
7, 122, 121
9, 108, 123
8, 128, 105
8, 121, 123
8, 111, 128
8, 118, 133
9, 138, 113
8, 104, 125
10, 119, 124
9, 124, 122
7, 125, 81
8, 100, 124
8, 129, 110
8, 123, 133
7, 127, 82
10, 127, 134
8, 122, 117
7, 131, 98
8, 136, 109
7, 99, 122
6, 76, 124
9, 115, 124
8, 122, 124
9, 120, 126
8, 132, 104
8, 125, 120
9, 106, 121
8, 126, 123
7, 125, 104
8, 123, 110
8, 121, 101
8, 120, 124
7, 143, 106
8, 130, 114
7, 102, 124
7, 89, 123
8, 123, 113
